0,0,0,C30H38O15               
0,0,0,C30H38O4               
0,0,0,C30H38O5               
0,0,0,C30H38O6               
0,0,0,C30H38O8               
0,0,0,C30H40O15               
0,0,0,C30H40O16               
0,0,0,C31H26O15               
0,0,0,C31H28O13               
0,0,0,C31H28O14               
0,0,0,C31H28O15               
0,0,0,C31H28O16               
0,0,0,C31H29O13               
0,0,0,C31H29O14               
0,0,0,C31H30O13               
0,0,0,C31H30O8               
0,0,0,C31H33O18               
0,0,0,C31H33O19               
0,0,0,C31H33O20               
0,0,0,C31H34O16               
0,0,0,C31H34O17               
0,0,0,C31H34O18               
0,0,0,C31H34O19               
0,0,0,C31H35O17               
0,0,0,C31H35O18               
0,0,0,C31H35O19               
0,0,0,C31H35O21               
0,0,0,C31H36O14               
0,0,0,C31H36O15               
0,0,0,C31H36O16               
0,0,0,C31H36O18               
0,0,0,C31H36O19               
0,0,0,C31H36O20               
0,0,0,C31H36O6               
0,0,0,C31H37O18               
0,0,0,C31H38O12               
0,0,0,C31H38O15               
0,0,0,C31H38O16               
0,0,0,C31H38O17               
0,0,0,C31H38O18               
0,0,0,C31H38O6               
0,0,0,C31H38O7               
0,0,0,C31H38O8               
0,0,0,C31H40O4               
0,0,0,C31H42O15               
0,0,0,C32H28O13               
0,0,0,C32H28O14               
0,0,0,C32H30O12               
0,0,0,C32H30O13               
0,0,0,C32H30O14               
0,0,0,C32H30O15               
0,0,0,C32H30O16               
0,0,0,C32H30O7               
0,0,0,C32H31O14               
0,0,0,C32H31O15               
0,0,0,C32H34O18               
0,0,0,C32H34O19               
0,0,0,C32H35O19               
0,0,0,C32H36O17               
0,0,0,C32H36O18               
0,0,0,C32H36O19               
0,0,0,C32H37O19               
0,0,0,C32H37O20               
0,0,0,C32H37O23S               
0,0,0,C32H38O14               
0,0,0,C32H38O15               
0,0,0,C32H38O16               
0,0,0,C32H38O17               
0,0,0,C32H38O18               
0,0,0,C32H38O19               
0,0,0,C32H38O20               
0,0,0,C32H38O21               
0,0,0,C32H39O18               
0,0,0,C32H39O19               
0,0,0,C32H39O20               
0,0,0,C32H39O21               
0,0,0,C32H40O15               
0,0,0,C32H40O16               
0,0,0,C32H40O17               
0,0,0,C32H40O18               
0,0,0,C32H40O19               
0,0,0,C32H42O15               
0,0,0,C32H42O17               
0,0,0,C33H30O7               
0,0,0,C33H30O9               
0,0,0,C33H32O15               
0,0,0,C33H32O20               
0,0,0,C33H32O7               
0,0,0,C33H33O14               
0,0,0,C33H34O17               
0,0,0,C33H34O24               
0,0,0,C33H35O22               
0,0,0,C33H35O23               
0,0,0,C33H36O22               
0,0,0,C33H36O23               
0,0,0,C33H38O18               
0,0,0,C33H38O19               
0,0,0,C33H38O20               
0,0,0,C33H38O21               
0,0,0,C33H38O22               
0,0,0,C33H38O23               
0,0,0,C33H40O14               
0,0,0,C33H40O15               
0,0,0,C33H40O16               
0,0,0,C33H40O18               
0,0,0,C33H40O19               
0,0,0,C33H40O20               
0,0,0,C33H40O21               
0,0,0,C33H40O22               
0,0,0,C33H40O23               
0,0,0,C33H40O7               
0,0,0,C33H41O19               
0,0,0,C33H41O20               
0,0,0,C33H41O21               
0,0,0,C33H41O22               
0,0,0,C33H42O15               
0,0,0,C33H42O18               
0,0,0,C33H42O19               
0,0,0,C33H42O20               
0,0,0,C34H30O14               
0,0,0,C34H32O15               
0,0,0,C34H34O18               
0,0,0,C34H34O20               
0,0,0,C34H35O19               
0,0,0,C34H37O23               
0,0,0,C34H38O19               
0,0,0,C34H40O16               
0,0,0,C34H40O19               
0,0,0,C34H41O22               
0,0,0,C34H42O15               
0,0,0,C34H42O17               
0,0,0,C34H42O18               
0,0,0,C34H42O19               
0,0,0,C34H42O20               
0,0,0,C34H42O21               
0,0,0,C34H42O22               
0,0,0,C34H42O23               
0,0,0,C34H43O20               
0,0,0,C34H43O21               
0,0,0,C34H43O22               
0,0,0,C34H44O19               
0,0,0,C34H44O20               
0,0,0,C34H50O6               
0,0,0,C35H28O19               
0,0,0,C35H28O20               
0,0,0,C35H29O19               
0,0,0,C35H30O17               
0,0,0,C35H30O18               
0,0,0,C35H32O13               
0,0,0,C35H34O16               
0,0,0,C35H34O18               
0,0,0,C35H34O19               
0,0,0,C35H34O8               
0,0,0,C35H34O9               
0,0,0,C35H35NO14               
0,0,0,C35H35O17               
0,0,0,C35H35O18               
0,0,0,C35H36O15               
0,0,0,C35H38O21               
0,0,0,C35H38O7               
0,0,0,C35H39O23               
0,0,0,C35H39O25               
0,0,0,C35H40O23               
0,0,0,C35H41O23               
0,0,0,C35H42O16               
0,0,0,C35H42O20               
0,0,0,C35H42O21               
0,0,0,C35H42O22               
0,0,0,C35H42O6               
0,0,0,C35H44O20               
0,0,0,C35H44O21               
0,0,0,C35H44O22               
0,0,0,C35H44O23               
0,0,0,C35H44O4               
0,0,0,C35H44O5               
0,0,0,C35H44O7               
0,0,0,C35H45O21               
0,0,0,C35H45O22               
0,0,0,C35H46O4               
0,0,0,C36H30O7               
0,0,0,C36H36O11               
0,0,0,C36H36O16               
0,0,0,C36H36O17               
0,0,0,C36H36O18               
0,0,0,C36H36O19               
0,0,0,C36H36O20               
0,0,0,C36H37O16               
0,0,0,C36H37O17               
0,0,0,C36H37O18               
0,0,0,C36H37O19               
0,0,0,C36H37O20               
0,0,0,C36H38O16               
0,0,0,C36H43O24               
0,0,0,C36H43O25               
0,0,0,C36H44O20               
0,0,0,C36H44O21               
0,0,0,C36H44O22               
0,0,0,C36H46O20               
0,0,0,C37H30O15               
0,0,0,C37H34O20               
0,0,0,C37H34O7               
0,0,0,C37H36O22               
0,0,0,C37H38O16               
0,0,0,C37H38O17               
0,0,0,C37H38O18               
0,0,0,C37H38O19               
0,0,0,C37H38O20               
0,0,0,C37H39O18               
0,0,0,C37H39O19               
0,0,0,C37H40O15               
0,0,0,C37H44O17               
0,0,0,C37H44O24               
0,0,0,C37H46O19               
0,0,0,C37H46O23               
0,0,0,C37H46O24               
0,0,0,C38H36O18               
0,0,0,C38H36O21               
0,0,0,C38H39O18               
0,0,0,C38H40O18               
0,0,0,C38H40O19               
0,0,0,C38H40O20               
0,0,0,C38H40O21               
0,0,0,C38H41O18               
0,0,0,C38H41O19               
0,0,0,C38H41O20               
0,0,0,C38H46O21               
0,0,0,C38H47O24               
0,0,0,C38H48O19               
0,0,0,C38H48O20               
0,0,0,C38H48O23               
0,0,0,C38H48O24               
0,0,0,C39H32O14               
0,0,0,C39H32O15               
0,0,0,C39H32O16               
0,0,0,C39H34O14               
0,0,0,C39H34O16               
0,0,0,C39H38O23               
0,0,0,C39H39O20               
0,0,0,C39H39O21               
0,0,0,C39H39O22               
0,0,0,C39H39O23               
0,0,0,C39H41O19               
0,0,0,C39H42O19               
0,0,0,C39H42O21               
0,0,0,C39H43O20               
0,0,0,C39H43O22               
0,0,0,C39H46O18               
0,0,0,C39H50O19               
0,0,0,C39H50O20               
0,0,0,C39H50O23               
0,0,0,C39H50O24               
0,0,0,C39H50O25               
0,0,0,C39H50O26               
0,0,0,C39H51O25               
0,0,0,C40H34O15               
0,0,0,C40H34O16               
0,0,0,C40H38O11               
0,0,0,C40H38O16               
0,0,0,C40H40O22               
0,0,0,C40H41O21               
0,0,0,C40H41O22               
0,0,0,C40H44O22               
0,0,0,C40H45O21               
0,0,0,C40H45O22               
0,0,0,C40H50O20               
0,0,0,C40H52O24               
0,0,0,C40H52O26               
0,0,0,C40H52O27               
0,0,0,C40H53O26               
0,0,0,C41H41O23               
0,0,0,C41H43O22               
0,0,0,C41H44O22               
0,0,0,C41H44O23               
0,0,0,C41H44O24               
0,0,0,C41H45O22               
0,0,0,C41H49O27               
0,0,0,C41H52O21               
0,0,0,C43H36O17               
0,0,0,C43H36O17               
0,0,0,C43H42O27               
0,0,0,C43H42O27               
0,0,0,C43H47O25               
0,0,0,C43H47O25               
0,0,0,C43H48O22               
0,0,0,C43H48O22               
0,0,0,C43H48O23               
0,0,0,C43H48O23               
0,0,0,C43H48O24               
0,0,0,C43H48O24               
0,0,0,C43H48O25               
0,0,0,C43H48O25               
0,0,0,C43H49O22               
0,0,0,C43H49O22               
0,0,0,C43H49O23               
0,0,0,C43H49O23               
0,0,0,C43H49O24               
0,0,0,C43H49O24               
0,0,0,C43H52O20               
0,0,0,C43H52O20               
0,0,0,C43H54O22               
0,0,0,C43H54O22               
